post_id,content
63,"Quỳnh Trương lên tiếng việc bị gắn mác ""thánh nhả"", giữ vững danh xưng tiên nữ mukbang liền bị đồn cắt cảnh nuốt   #YAN #Storyfoods"
64,Năm nay bà xã Chi Bảo chỉ cần quà tinh thần cụ thể là tổ chức giải đấu pickle ball 🤩  #YAN #Bestyeu
65,Cây vàng sổ đỏ là không thiếu luôn
66,"Con gái bà Nhân Vlog  14 tháng tuổi vẫn lười tập đi, nhóc tỳ bước được vài bước mẹ mừng ra mặt  #YAN #Besthong"
67,CĐM thắc mắc boss Ngân là mẹ bỉm nhưng người nhảy qua lửa là giúp việc  #YAN #Bietchua
68,Dân tình mừng khi thấy 3 mẹ con Cindy Lư đã tìm được 1 bến đỗ   #YAN #Storytrending
69,Nhả vía như boss Ngân mọi người xin phép né
70,Khán giả cũng mong cả 2 sẽ cho nhau cơ hội vì bé Cát   #YAN #Story360
71,Đầu tư cỡ này chồng nào mà không yêu cho được
72,Nhìn Nàng Mơ là đủ hiểu lụa đẹp vì người là thế nào 😍  #YAN #Minhhacxuongmai
73,"Hành trình mang thai của Vy Phạm cũng gian truân, để tự nhiên không được phải tìm đến IVF   #YAN #Minhhacxuongmai"
74,"Quen lâu mới lòi ra tật này tật kia, chuyến này Soanh dỗ hơi bị cực đây 🤣  #YAN #Hitha"
75,"Vốn là bạn từng thân nhưng cả hai chạm mặt tại sự kiện vẫn bị soi thái độ ""không cảm xúc""  #YAN #Storytrending"
76,H'Hen quyết giấu giới tính con đến cùng nhưng dân tình cứ nôn đoán 😂  #YAN #Hitha
77,"Ngân Baby dạo này lộ nhiều biểu hiện lạ, Thông Soái Ca cũng chẳng khá khẩm hơn  #YAN #Story360"
78,Đầu tư cho con gái yêu cỡ này 😍
79,Ngày trước Quỳnh Trang đã xinh rồi giờ gương mặt được khôi phục còn xinh gấp bội 🤩  #YAN #Bestyeu
80,Sinh nhật năm nay đủ bất ngờ với Minh Hằng rồi đó 🤩  #YAN #Hitha
81,CĐM nghe Ngô Quyền nói xong thì mong ai kia đừng kể khổ nữa   #YAN #Story45s
82,Sau này đám cưới chắc là gấp 10 lần vậy luôn 🥹
83,"Con gái Nhật Kim Anh dăm ba bữa lại bị mẹ cạo trọc đầu, kẹp tóc cả tủ lại chưa có cơ hội sử dụng 😅  #YAN #Besthong"
84,Chưa đâu kiếp nạn ở cuối kìa! #YAN #Duhi
85,"Ngân 98 tiếp tục muốn chỉnh mũi, chỉnh cằm vì chán nét mặt baby, muốn quay về nét sang  #YAN #Story360"
86,Thì ra Bí Đỏ là người theo đuổi sao 🥹
87,Choáng ngộp trước nhẫn cầu hôn với viên kim cương cỡ đại của Mai Davika 😱  #YAN #Tinting
88,"""Đời ba khổ rồi, đời con còn khổ hơn"" nghe mà đau lòng 😥  #YAN #Storytrending"
89,"Nhìn chiếc nhẫn 10 carat trên tay Mai Davikah là biết cổ đã ""Say YES"" rồi đó 🥳  #YAN #Saochuyengi"
90,"Con trai Phương Trinh Jolie 5 tháng tuổi phải đội nón định hình, nhóc tỳ nằm cạnh anh Tyga y như sinh đôi   #YAN #Besthong"
91,Dân tình thắc mắc liệu Thiều Bảo Trâm có đang hướng theo phong cách Lisa  #YAN #Storytrending
92,Có thể là nhớ tới cuối đời 😂  #YAN #Ualasao
93,Buôn bán vì đam mê hả? #YAN #Duhi
94,Tiệc tân gia thì pháo hoa rợp trời còn sinh nhật con gái Ngân Collagen đãi đơn giản đến lạ 😳  #YAN #Bestyeu
95,"Người thì khen đặc sản, số khác lại thấy rùng mình không dám xem 🥹  #YAN #Storytrending"
96,"Không hổ danh là trợ lý của sếp, Thảo thấm nhuần cả thói quen của nam streamer   #YAN #Story360"
97,"Nhiều người thấy nồi nước lèo đục ngầu đã ""ngán"" không muốn ăn 😰 #YAN #Vitamin90s"
98,"Ai cũng nhớ chỉ một người không nhớ, Vũ Luân buồn trong lòng nhiều chút 😂  #YAN #Hitha"
99,Lý do là đăng ký bỏ rác thì tốn tiền lại không có người nhặt ve chai như nước ta   #YAN #Storytalent
100,Ngân Collagen đã thanh toán tiền tiệc tân gia rồi còn giao dịch ngày 10/6 là trả cho tiệc sinh nhật con gái gần đây!  #YAN #Saochuyengi
101,Trình hát live của cả 2 được đặt lên bàn cân   #YAN #Bietchua
102,Em bé 4 tuổi chính thức được tiếp cận liều thuốc đắt nhất thế giới  #YAN #Besthong
103,Từ con nợ thành chủ nợ luôn hay thiệt
104,Ngân Collagen đã thanh toán tiền tiệc tân gia rồi còn giao dịch ngày 10/6 là trả cho tiệc sinh nhật con gái gần đây!  #YAN #Saochuyengi
105,Nhiều người nhận ra trên tay cô còn dấu vết
106,"Con gái Boss Ngân với trợ lý thân thiết chẳng hề có khoảng cách, như người 1 nhà   #YAN #Story360"
107,Quan điểm của Trà Bông khiến nhiều người chưa đồng tình lắm thì phải  #YAN #Minhhacxuongmai
108,Nghe như được dát vàng lỗ tai luôn
109,Lính ruột của Boss Ngân bị tố quỵt tiền tổ chức đám cưới 😱  #YAN #Tinting
110,Khán giả cảm thấy bức xúc vì thái độ của bé My
111,Nay Quang Minh tinh tế cỡ này chắc do hôm bữa hiểu lầm gì thôi ☺️  #YAN #Hitha
112,"Nữ Tiktoker tưởng được đồng cảm, cuối cùng phải lên tiếng xin lỗi khi bị đầu bếp lên tiếng chỉnh nhẹ   #YAN #Storyfoods"
113,Em còn nhỏ nên phải kỹ ăn uống lắm
114,Mukbang thôi mà điệu quá trời điệu 🤩  #YAN #YANPets
115,"Cổ đảm đang, cổ giỏi 🤩"
116,"H'Hen Niê show trình tiếng Anh lưu loát, hậu bị nói yếu ngoại ngữ  #YAN #Bietchua"
117,Hơi nhồi nhét lộn xộn xíu thôi nhưng được cái tình củm 😆  #YAN #OeOe
118,"Dù liên tục vẫy tay chào, nhưng thứ Hiền Hồ nhận lại là sự thờ ơ của mọi người   #YAN #Bietchua"
119,Từng động tác uyến chuyển bảo sao chồng không mê 😍  #YAN #Bestyeu
120,Nhiều chị em lại mong cô sớm tìm được hạnh phúc 😕  #YAN #Story360
121,"Sao qua được ""đệ nhất"" Gil Lê 😍"
122,Nhiều người chưa chắc nấu đỉnh được như chị đâu đó 🤩  #YAN #Duhi
123,Hai vợ chồng nhà này vừa hài vừa dễ thương sao á
124,"Mỗi bên đều có cái lý riêng, nhưng CĐM bênh vực Quốc Thiên vì thấy nam ca sĩ trình diễn hay hơn  #YAN #Storytrending"
125,Anh rể nghe là thấy cấn cấn phản ứng lại ngay   #YAN #Bestyeu
126,Cách xử lý nhẹ nhàng hài hước của Tủi Cùi Bắp khiến dân tình đòi ụp crown  #YAN #Story360
127,Khi nào mới checkin đi xe hơi vi vu đây
128,Mái tóc nghị lực nhất tàu điện   #YAN #Ualasao
129,Charles Thành là người kiểm thùng phúng điếu tiết lộ có người để trống phong bì!  #YAN #Saochuyengi
130,Khác trái bưởi mỗi cái tên 😂  #YAN #Story45s
131,2 chị em bà hồi trẻ biết bao người mê mà không lấy chồng đó!  #YAN #Duhi
132,"Chọn bỏ phố về quê khởi nghiệp, bây giờ việc kinh doanh của cô nàng thuận lợi và còn được bán ở nước ngoài 🤩  #YAN #Hitha"
133,"Không phải hết thời, Nam Em được mời show nhưng không đi vì cát-xê ít  #YAN #Story360"
134,Là sao nữa vậy bà Thơ 🥹
135,"Chẳng còn mừng vì con trộm vía, con nhiều ngấn giờ là nỗi lo của các mẹ bỉm 😥  #YAN #Storytalents"
136,"Hiền Hồ sang trọng đi sự kiện nhưng bị ngó lơ, Ngọc Trinh vẫn thân thiện đọ dáng bên đàn em  #YAN #Tinting"
137,Hiểu lầm thôi ờ 😅
138,Chỉ ai học múa ballet mới hiểu cảnh này   #YAN #Storytrending
139,"Cộng đồng mạng um sùm bữa giờ, không biết sao đây 🥹"
140,Dân tình xem mà vừa đã con mắt vừa thấy lo lo 😅  #YAN #Vitamin90s
141,"Ở đây mời miếng đất cũng giống như mời miếng bánh, ly trà vậy á 😱  #YAN #Ualasao"
142,"Một lần đi event bà diện outfit 50 tỷ, đem cả ""căn biệt thự"" ra đường 😳 #YAN #Minhhacxuongmai"
143,"100% hoa tươi được trang trí xung quanh, Minh Vy là nhân vật chính nên cũng đầu tư hẳn 2 bộ 🤩  #YAN #Bestyeu"
144,Tóp Tóp Cơ đáp trả khi bị đi nói làm trời Âu nhưng lại tính tiền Việt 😱  #YAN #Storytrending
145,"Hoa tươi 100%, khách mời còn có quà đem về 😍  #YAN #Bestyeu"
146,Vợ Quang Minh vô tư khoác tay người khác nam nghệ sĩ vẫn chẳng màn ghen tuông  #YAN #Story360
147,Vậy mà đó giờ mọi người vẫn tưởng Vũ Cát Tường tỏ tình trước 😂  #YAN #Bestyeu
148,"Nhiều người ăn 1 miếng đã nhăn mặt, chịu không nổi 🤮 #YAN #Vitamin90s"
149,Tần suất xuất hiện cùng nhau dày đặc khiến dân tình hoài nghi về tình trạng mối quan hệ của Tuấn Ngọc - Ý Nhi   #YAN #Bietchua
150,"Nhân viên tặng quà trăm củ còn sếp phải đi mượn nợ bên ngoài, ủaaa 😂  #YAN #Minhhacxuongmai"
151,Không làm người nổi tiếng chắc Chu Thanh Huyền sẽ bén duyên với nghề cô gáo mầm non  #YAN #Minhhacxuongmai
152,Cổ cỡ này ai làm lại cổ 😂  #YAN #Tinting
153,"Hari Won ăn cay cỡ đó nhưng da dẻ vẫn cực ""trộm vía""  #YAN #Story360"
154,Xin vía em bé ngoan xinh yêu này được không ạ 😍
155,Anh chàng hiện đã khỏi bệnh nhờ kịp thời điều trị và điều chỉnh chế độ ăn uống  #YAN #Storyfoods
156,Dân tình đồn đoán Thảo và bosss Ngân dùng chung tủ đồ!!  #YAN #minhhacxuongmai
157,Tuổi 25 đã gặp bạo bệnh rồi khổ trăm bề
158,"Louis Phạm bị cháu ruột ""tố"" lười biếng, nửa đêm còn bắt cháu đi lấy đồ ăn   #YAN #Tinting"
159,Tuổi trẻ tài cao là đây  #YAN #Tinting
160,"Công việc này được ví như ""người giúp việc"" vậy"
161,Boss Ngân tiếp tục bị nhân viên cũ gọi tên   #YAN #Bietchua
162,Năm nay vẫn chưa chịu nha 😅
163,"""Người mẹ nhí"" ngày nào đây sao 😳 #YAN #Bestyeu"
164,😱😱😱 HOT: Trận showmatch LMHT lần đầu MONO góp mặt căng thẳng tới mức 1 tuyển thủ gục ngã trên sóng
165,"Hậu trường tổng duyệt của các Anh Tài cho 2 đêm concert Anh Trai Vượt Ngàn Chông Gai do Jun Phạm cập nhật 🤗  Chỉ qua đêm nay nữa thôi, các Gai Con sẽ được hoà mình vào 2 đêm concert vào T7, CN tuần này 🔥"
166,Tiên Tiên chia sẻ về tâm sự dễ thương của một bạn fan nhí 🥰😂
167,Em Xinh Lệ Quân a.k.a WEAN rất tự tin cho đến khi rớt miếng nhặt không kịp =)))  (Em Xinh Say Hi)
168,"Tình yêu trong lời nhạc của Thành Luke & Cá Hồi Hoang - không hứa hẹn, chẳng tô vẽ, chỉ đơn giản là ""cùng nhau""."
169,Một khoảng sân khấu ATVNCG D5 D6 rực sắc dưới ánh hoàng hôn. 🌇  Ảnh: Long Kenji
170,Dương Domic đứng cạnh Kaity Nguyễn 🥲  Đấu Trường Gia Tốc - Highlight Tập 3
171,"🔥 NGAY LÚC NÀY: ""Tuyển thủ Esports"" MONO đang show trình cháy máy lắm rồi. Lên livestream của Liên Minh Huyền Thoại coi ảnh oánh cháy máy luôn kìa các fen ơiiii!!!"
172,Bộ ảnh thơ mộng của gia đình Hạt Nhài tại Mù Cang Chải ☺️  Ảnh: Salim
173,"Bạn còn nhớ bức tranh đã vẽ khi còn bé?   Xem xong Doraemon Movie 44, mình lại nhớ đến môn Mĩ Thuật thời tiểu học. Vẽ đồ vật, vẽ phong cảnh, vẽ động vật, chủ đề nào mình cũng vẽ 6 nhất nhì lớp 🙂   Khi tới bài vẽ chân dung, mình cũng chọn vẽ ba giống Nobita. Tất nhiên, tranh mình vẽ vẫn xấu tệ. Nét thì nguệch ngoạc, màu thì thích gì tô nấy. Như da ba mình là da ngăm, thế là mình tô hẳn màu nâu nguyên chất thay vì tô màu da người :))   Buồn cười là thế nhưng đem tranh về khoe ba thì ba lại thích lắm, khen là chân thật, có hồn thế còn gì 🤣 Lớn rồi mà ba vẫn thỉnh thoảng nhắc tới bức tranh huyền thoại ấy.   Có ký ức về vẽ vời như vậy nên Doraemon năm nay với mình cảm động và thân thiết khó tả. Ừ thì hồi nhỏ ai chẳng sợ vẽ í ẹ quá thì bị bạn bè chê cười. Nhưng xem phim xong mình nhận ra vẽ xấu hay đẹp không quan trọng nữa, quan trọng là important…   À nhầm, quan trọng là cảm xúc mình truyền tải trong bức tranh. Như tranh vẽ ba của mình tuy nhìn vào chỉ thấy màu nâu, nhưng lại là một bức tranh có hồn vì mình rất yêu quý làn da ngăm của ba. Tình yêu gia đình đơn giản thế thôi hẹ hẹ hẹ 🤎  💙 Doraemon Movie 44: 10/10 về nội dung và hình ảnh khiến ai cũng như quay về tuổi thơ."
174,"J-HOPE, JIN, JUNGKOOK trên sân khấu ngay lúc này 😍💜"
175,"JustaTee khi được hỏi về lý do ít sử dụng mạng xã hội:  🗣 JustaTee: ""Tôi thấy nó chẳng giải quyết vấn đề gì. Fanpage để trống từ hồi ra bài hát năm 2021, đến vừa rồi mới đăng. Instagram cũng để 2, 3 năm rồi. Tôi không ngại làm lại mọi thứ từ đầu.  Không dùng mạng xã hội một thời gian dài, mình mới biết mình thực sự là ai. Tôi muốn rời xa những nền tảng chỉ lôi kéo sự chú ý khi mình đều đặn dùng. Tôi thử không dùng xem sau vài năm có ổn không.  Facebook hay Instagram, không dùng nữa sẽ không có reach, đăng bài sẽ không hiện nữa. Khi nào mình đăng lại, sự quan tâm lúc đó mới là sự thật của mình.""  ⁉️ Phóng viên: ""Anh đang sống trong một thế giới có nhiều giá trị ảo, người ta sẵn sàng bỏ tiền mua chỉ số. Anh thích đi con đường riêng?""  🗣 JustaTee: ""Lúc nào tôi chả thế. Tôi bỏ dùng Facebook đúng vào lúc nó đạt nhiều lượt like nhất trong sự nghiệp với nhiều bài post về gia đình, khoảng năm 2021. Cái gì càng dễ gây chú ý thì tôi càng không cần.""  - JustaTee chia sẻ cùng báo Tuổi Trẻ"
176,H’hen Niê trong bộ ảnh bầu tại quê nhà 🥰
177,Gia đình Hạt Nhài trong trang phục H'mong 🤗  Video: Salim
178,"JustaTee khi được hỏi về việc có ngại khi gia đình và con cái được công chúng quan tâm quá, anh trả lời  ""Công việc của tôi, những thứ tôi trải qua không phải để lo ngại những cái đấy. Quan trọng là mình chỉ cho con cách đối diện.  Tôi chưa nhận một đồng nào quảng cáo với con mình, trừ MV EZ Papa là tôi muốn làm sản phẩm âm nhạc. Khách hàng rất thích hình ảnh của tôi với con gái, nhưng số hợp đồng tôi từ chối chắc phải mua được bốn cái nhà tôi đang ở.  Khi lớn lên với sự nổi tiếng, việc con hiểu được vì sao mình nổi tiếng là quan trọng. Trước khi tôi đưa con lên sân khấu, tôi luôn thì thầm vào tai con, hỏi con có thực sự muốn không. Nếu muốn thì ra diễn, còn nếu con không muốn, tôi sẵn sàng đưa con xuống.""  (Chia sẻ tại Tuổi Trẻ)"
179,"VỠ ĐẬP Ở QUẢNG BÌNH (NAY LÀ QUẢNG TRỊ), NƯỚC ĐANG TRÀN VỀ CÁC XÃ HẠ DU.  Sáng 13/6, lãnh đạo UBND xã Thái Thủy (huyện Lệ Thủy, Quảng Bình) cho biết, do ảnh hưởng của bão số 1, tại xã Thái Thủy xảy ra mưa lớn, một đập Dạ Lam bị vỡ, đe dọa nhiều khu dân cư phía hạ du.  Cụ thể, đoạn đập bị vỡ có chiều dài khoảng 15m. Khi bị vỡ, nước từ hồ chứa tràn mạnh xuống các xã thấp hơn.  Được biết, đập Dạ Lam có dung tích vào khoảng 500.000m³. Trước đó, đơn vị quản lý hồ đã chủ động mở một phần để xả bớt nước.  ("
180,"Tối 12/6, Sô Y Tiết đăng tải hình ảnh đang điều trị tại bệnh viện. Anh cho biết bệnh lao của mình đã tái phát.  Trên trang Instagram cá nhân với 1,6 triệu người theo dõi, Sô Y Tiết chia sẻ bằng tiếng Anh: ""Tôi đã nằm viện được một tuần. Bệnh lao của tôi tái phát. Rất biết ơn các bác sĩ đã cứu tôi. Tôi vẫn cứ đẹp trai và hát cho các bạn nghe nhé"".  Sô Y Tiết (sinh năm 1988, quê Bình Định) từng mắc bệnh lao phổi từ năm lớp 6 khi còn ở cô nhi viện. Căn bệnh này nhiều lần khiến anh khó thở, ho ra 🩸 và phải nhập viện cấp cứu. Sức khỏe yếu đã buộc anh phải nghỉ học từ năm lớp 8."
181,"🔥 Sau hơn 5 ngày phát hành, tiết mục ""RUN"" của đội Châu Bùi cùng các thành viên Ánh Sáng AZA, 52Hz, Yeolan, LyHan đã chính thức vươn lên top 1 Music Trending trên YouTube.   Tiết mục này đã thu về hơn 2 triệu lượt xem trên Youtube."
182,"Minh Tuấn, 28 tuổi, đã tìm đến dịch vụ ""trò chuyện với người lạ"" để giải tỏa áp lực công việc và chuyện tình cảm. Sau khi mối tình 4 năm tan vỡ và dự án công ty thất bại, Tuấn rơi vào trạng thái căng thẳng tột độ nhưng không muốn chia sẻ với gia đình hay bạn bè thân thiết.  Anh đã trả 300.000 đồng để có 60 phút tâm sự cùng một người hoàn toàn xa lạ tại quán cà phê. Tuấn cho biết người lắng nghe không phán xét hay đưa lời khuyên, mà chỉ đơn thuần chia sẻ và đồng cảm, giúp anh cảm thấy nhẹ nhõm hơn rất nhiều.  ("
183,"MƯA LỚN LÀM SẬP NHÀ, CUỐN TRÔI Ô TÔ Ở QUẢNG TRỊ.  Do ảnh hưởng của bão số 1, một vụ sạt lở đất nghiêm trọng đã xảy ra tại xã A Bung, huyện Đakrông, Quảng Trị làm sập nhà, cuốn trôi một ôtô.  ("
184,"BI KỊCH TRÊN CHUYẾN BAY ĐỊNH MỆNH: GIẤC MƠ ĐỊNH CƯ CỦA GIA ĐÌNH ẤN ĐỘ VỤN VỠ  Giấc mơ về một cuộc sống mới trên đất Anh của gia đình Pratik Joshi đã tan biến trong thảm kịch hàng không kinh hoàng. Pratik, một chuyên gia phần mềm đã gắn bó sáu năm với Luân Đôn, mong mỏi đón vợ và ba con nhỏ sang định cư. Vợ anh, Tiến sĩ Komi Vyas – một bác sĩ có tiếng ở Udaipur, Ấn Độ – thậm chí đã từ bỏ công việc và mọi hành lý đã sẵn sàng cho hành trình định mệnh.  Ngày 12 tháng 6, tràn đầy hy vọng, gia đình năm người đã lên chuyến bay Air India 171. Một bức ảnh tự sướng được chụp, gửi cho người thân, báo hiệu một khởi đầu mới. Nhưng chỉ ít giờ sau, chiếc máy bay đã gặp nạn, biến chuyến đi một chiều đến tương lai thành bi kịch.   Trong tổng số 242 người trên máy bay, chỉ duy nhất một hành khách may mắn sống sót, còn 241 sinh mạng, bao gồm cả gia đình Pratik Joshi, đã vĩnh viễn ra đi."
