post_id,content,comment_ids,label_from_content
11,"Ở tuổi 40, Santi Cazorla vào sân thay người và chỉ mất ít phút để ghi siêu phẩm sút phạt bằng chân trái mang về tấm vé góp mặt ở trận chung kết play-off thăng hạng cho Real Oviedo. 🔥🔥  Cazorla, người đã trở về quê hương, chơi bóng với mức lương tượng trưng, thậm chí dùng kinh phí bán áo đấu của mình để lo cho học viện... Giờ đây chỉ còn cách giấc mơ đưa CLB quê nhà trở lại LaLiga đúng 1 trận đấu nữa! 🥹💙","post_11_cmt_1,post_11_cmt_2,post_11_cmt_3,post_11_cmt_4,post_11_cmt_5,post_11_cmt_6,post_11_cmt_7,post_11_cmt_8,post_11_cmt_9,post_11_cmt_10,post_11_cmt_11,post_11_cmt_12,post_11_cmt_13,post_11_cmt_14,post_11_cmt_15,post_11_cmt_17,post_11_cmt_18,post_11_cmt_19,post_11_cmt_20",Thể thao
12,"✅ Cầu thủ đắt giá nhất lịch sử Premier League ✅ Cầu thủ đắt giá nhất lịch sử Bundesliga ✅ Cầu thủ đắt giá nhất lịch sử Liverpool   Tiếp theo, mỗi cú chạm bóng của em Viết đều sẽ là tâm điểm... 😌","post_12_cmt_1,post_12_cmt_2,post_12_cmt_3,post_12_cmt_4,post_12_cmt_5,post_12_cmt_6,post_12_cmt_7,post_12_cmt_8,post_12_cmt_9,post_12_cmt_10,post_12_cmt_11,post_12_cmt_12,post_12_cmt_13,post_12_cmt_14,post_12_cmt_15,post_12_cmt_16,post_12_cmt_17,post_12_cmt_18,post_12_cmt_19,post_12_cmt_20,post_12_cmt_21,post_12_cmt_22,post_12_cmt_23,post_12_cmt_24,post_12_cmt_25,post_12_cmt_26,post_12_cmt_27,post_12_cmt_28,post_12_cmt_29,post_12_cmt_30,post_12_cmt_31,post_12_cmt_32,post_12_cmt_33,post_12_cmt_36,post_12_cmt_37",Tin tức xã hội
13,"Đây là những con xế hộp là phần thưởng mà Tổng thống Uzbekistan dành cho các cầu thủ ĐTQG nước này sau chiến tích lịch sử giành vé tham dự VCK World Cup 🤯  Có tí xế hộp vào đá nhiệt hẳn, giã Qatar tận 3 chày luôn mà 🤣🤣","post_13_cmt_1,post_13_cmt_2,post_13_cmt_3,post_13_cmt_4,post_13_cmt_5,post_13_cmt_6,post_13_cmt_7,post_13_cmt_8,post_13_cmt_9,post_13_cmt_10,post_13_cmt_11,post_13_cmt_12,post_13_cmt_13,post_13_cmt_14,post_13_cmt_15,post_13_cmt_16,post_13_cmt_17,post_13_cmt_18,post_13_cmt_19,post_13_cmt_20,post_13_cmt_21,post_13_cmt_22,post_13_cmt_23,post_13_cmt_24,post_13_cmt_25,post_13_cmt_26,post_13_cmt_27,post_13_cmt_28,post_13_cmt_29,post_13_cmt_30,post_13_cmt_31,post_13_cmt_32,post_13_cmt_33,post_13_cmt_34,post_13_cmt_35,post_13_cmt_36,post_13_cmt_37,post_13_cmt_38",Tin tức xã hội
14,‼️ 𝐇𝐄𝐑𝐄 𝐖𝐄 𝐆𝐎!  Kevin De Bruyne đến Napoli ✅🔵⚪️  Cha già vẫn chưa dưỡng già.,"post_14_cmt_1,post_14_cmt_2,post_14_cmt_3,post_14_cmt_4,post_14_cmt_5,post_14_cmt_6,post_14_cmt_7",Tin tức xã hội
15,"‼️ KHÔNG VUI, XUÂN SON ĐÃ CĂNG! 🔥🔥🔥  Hẹn gặp Malaysia vào tháng 3 tới... 👿🇻🇳","post_15_cmt_1,post_15_cmt_2,post_15_cmt_3,post_15_cmt_4,post_15_cmt_5,post_15_cmt_6,post_15_cmt_7,post_15_cmt_8,post_15_cmt_9,post_15_cmt_10,post_15_cmt_11,post_15_cmt_12,post_15_cmt_13,post_15_cmt_14,post_15_cmt_15,post_15_cmt_16,post_15_cmt_17,post_15_cmt_18,post_15_cmt_19,post_15_cmt_20,post_15_cmt_21,post_15_cmt_22,post_15_cmt_23,post_15_cmt_24,post_15_cmt_25,post_15_cmt_26,post_15_cmt_27,post_15_cmt_28,post_15_cmt_29,post_15_cmt_30,post_15_cmt_31,post_15_cmt_32,post_15_cmt_33,post_15_cmt_34,post_15_cmt_35,post_15_cmt_36,post_15_cmt_37,post_15_cmt_38,post_15_cmt_39,post_15_cmt_40,post_15_cmt_41,post_15_cmt_42,post_15_cmt_43,post_15_cmt_44,post_15_cmt_45,post_15_cmt_46,post_15_cmt_47,post_15_cmt_48,post_15_cmt_49,post_15_cmt_50",Tin tức xã hội
16,Trung bình trận đấu bóng đá bình thường nhất ở năm 2025:,"post_16_cmt_1,post_16_cmt_2,post_16_cmt_3,post_16_cmt_4,post_16_cmt_5,post_16_cmt_6,post_16_cmt_7,post_16_cmt_8,post_16_cmt_9,post_16_cmt_10,post_16_cmt_11,post_16_cmt_12,post_16_cmt_13,post_16_cmt_14",Tin tức xã hội
17,Anh em mình cứ thế thôi hẹ hẹ hẹ 🇻🇳🤝🇹🇭,"post_17_cmt_1,post_17_cmt_3,post_17_cmt_4,post_17_cmt_5,post_17_cmt_6,post_17_cmt_7,post_17_cmt_8,post_17_cmt_9,post_17_cmt_10,post_17_cmt_11,post_17_cmt_12,post_17_cmt_13,post_17_cmt_14,post_17_cmt_15,post_17_cmt_16,post_17_cmt_17,post_17_cmt_18,post_17_cmt_19,post_17_cmt_20,post_17_cmt_21",Tin tức xã hội
18,"QUÁ KHÓ CHO BÓNG ĐÁ VIỆT NAM TRƯỚC NHỮNG SỰ THAY ĐỔI CỦA META!  ➖ Bóng đá Việt Nam đang đi xuống, trong khi đối thủ trong khu vực ngày càng mạnh lên.  ➖ Nói là nhập tịch nhưng gần như trên 95% những cầu thủ Âu - Mỹ của Indo hay Malaysia đều có gốc gác của họ.  ➖ Không có tiền, không có những tỷ phú sẵn sàng hỗ trợ phát triển bóng đá như ở Malaysia hay Indo.  ➖ Kể cả cho đến khi có tiền, thì cũng chẳng biết đào đâu ra cầu thủ Việt Kiều chất lượng để mà gọi về.  ➖ Chất lượng giải VĐQG của chúng ta chưa đủ tốt. Hệ thống bóng đá trong nước có quá nhiều vấn đề.  ➖ Để xây dựng lại một mô hình hệ thống bài bản như kiểu Nhật Bản gần như là nhiệm vụ bất khả thi ở Việt Nam.  ➖ Các HLV, quản lý cơ sở đào tạo thì đớp tiền VĐV trẻ.  ➖ Cơ sở vật chất thì quá kém chất lượng.  ➖ Bóng đá học đường không được chú trọng.  ➖ Bệnh thành tích ở khâu đào tạo trẻ khi việc cầu thủ lứa U khai gian tuổi là chuyện thường ở huyện.  ➖ Đa phần bậc phụ huynh ở Việt Nam thì vẫn chưa coi bóng đá là một nghề nghiệp có triển vọng.  ➖ 80% khán giả là người xem bóng đá thắng.","post_18_cmt_1,post_18_cmt_2,post_18_cmt_3,post_18_cmt_4,post_18_cmt_5,post_18_cmt_6,post_18_cmt_7,post_18_cmt_8,post_18_cmt_9,post_18_cmt_10,post_18_cmt_11,post_18_cmt_12,post_18_cmt_13,post_18_cmt_14,post_18_cmt_15,post_18_cmt_16,post_18_cmt_17,post_18_cmt_18,post_18_cmt_19,post_18_cmt_20,post_18_cmt_21,post_18_cmt_22,post_18_cmt_23,post_18_cmt_24,post_18_cmt_25,post_18_cmt_26,post_18_cmt_27,post_18_cmt_28,post_18_cmt_29,post_18_cmt_30,post_18_cmt_31,post_18_cmt_32,post_18_cmt_33,post_18_cmt_34,post_18_cmt_35,post_18_cmt_36,post_18_cmt_37,post_18_cmt_38,post_18_cmt_39,post_18_cmt_40,post_18_cmt_41,post_18_cmt_42,post_18_cmt_43,post_18_cmt_44,post_18_cmt_45,post_18_cmt_46,post_18_cmt_47,post_18_cmt_48,post_18_cmt_49,post_18_cmt_50",Tin tức xã hội
19,"✅ Bắt như rồng để giữ sạch lưới suốt hiệp 1 ✅ Gánh hàng thủ cả trận ✅ Vừa gánh vừa phải động viên tinh thần đồng đội  Cả đội thua vì bị out trình xong cuối cùng hết trận lại có mấy ông vào bảo ""ông này vía nặng"", ""ông này bắt 10 trận thua 9"",... Là sao???  Mọi người có thấy bất công và thiếu tôn trọng đối với Filip quá không vậy???","post_19_cmt_1,post_19_cmt_2,post_19_cmt_3,post_19_cmt_4,post_19_cmt_5,post_19_cmt_6,post_19_cmt_7,post_19_cmt_8,post_19_cmt_9,post_19_cmt_10,post_19_cmt_11,post_19_cmt_12,post_19_cmt_13,post_19_cmt_14,post_19_cmt_15,post_19_cmt_16,post_19_cmt_17,post_19_cmt_18,post_19_cmt_19,post_19_cmt_20,post_19_cmt_21,post_19_cmt_22,post_19_cmt_23,post_19_cmt_24,post_19_cmt_25,post_19_cmt_26,post_19_cmt_27,post_19_cmt_28,post_19_cmt_29,post_19_cmt_30,post_19_cmt_31,post_19_cmt_32,post_19_cmt_33,post_19_cmt_34,post_19_cmt_35,post_19_cmt_36,post_19_cmt_37,post_19_cmt_38,post_19_cmt_39,post_19_cmt_40,post_19_cmt_41,post_19_cmt_42,post_19_cmt_43,post_19_cmt_44,post_19_cmt_45,post_19_cmt_46,post_19_cmt_47,post_19_cmt_48,post_19_cmt_49,post_19_cmt_50",Tin tức xã hội
20,Tan tác !!!  📸 Ảnh: VFF,"post_20_cmt_1,post_20_cmt_2,post_20_cmt_3,post_20_cmt_4,post_20_cmt_5,post_20_cmt_6,post_20_cmt_7,post_20_cmt_8,post_20_cmt_9,post_20_cmt_10,post_20_cmt_11,post_20_cmt_12,post_20_cmt_13,post_20_cmt_14,post_20_cmt_15,post_20_cmt_16,post_20_cmt_17,post_20_cmt_18,post_20_cmt_19,post_20_cmt_20,post_20_cmt_21,post_20_cmt_22,post_20_cmt_23,post_20_cmt_24,post_20_cmt_25,post_20_cmt_26,post_20_cmt_27,post_20_cmt_28,post_20_cmt_29,post_20_cmt_30,post_20_cmt_31,post_20_cmt_32,post_20_cmt_33,post_20_cmt_34,post_20_cmt_35,post_20_cmt_36,post_20_cmt_37,post_20_cmt_38,post_20_cmt_39,post_20_cmt_40,post_20_cmt_41,post_20_cmt_42,post_20_cmt_43,post_20_cmt_44,post_20_cmt_45,post_20_cmt_46,post_20_cmt_47,post_20_cmt_48,post_20_cmt_49,post_20_cmt_50",Tin tức xã hội
21,4 chày,"post_21_cmt_1,post_21_cmt_2,post_21_cmt_3,post_21_cmt_4,post_21_cmt_5,post_21_cmt_6,post_21_cmt_7,post_21_cmt_8,post_21_cmt_9,post_21_cmt_10,post_21_cmt_11,post_21_cmt_12,post_21_cmt_13,post_21_cmt_14,post_21_cmt_15,post_21_cmt_16,post_21_cmt_17,post_21_cmt_18,post_21_cmt_19,post_21_cmt_20,post_21_cmt_21,post_21_cmt_22,post_21_cmt_23,post_21_cmt_24,post_21_cmt_25,post_21_cmt_26,post_21_cmt_27,post_21_cmt_28,post_21_cmt_29,post_21_cmt_30,post_21_cmt_31,post_21_cmt_32,post_21_cmt_33,post_21_cmt_34,post_21_cmt_35,post_21_cmt_36,post_21_cmt_37,post_21_cmt_38,post_21_cmt_39,post_21_cmt_40,post_21_cmt_41,post_21_cmt_42,post_21_cmt_43,post_21_cmt_44,post_21_cmt_45,post_21_cmt_46,post_21_cmt_47,post_21_cmt_48,post_21_cmt_49,post_21_cmt_50",
22,Đối âu mỹ out trình quá,"post_22_cmt_1,post_22_cmt_2,post_22_cmt_3,post_22_cmt_4,post_22_cmt_5,post_22_cmt_6,post_22_cmt_7,post_22_cmt_8,post_22_cmt_9,post_22_cmt_10,post_22_cmt_11,post_22_cmt_12,post_22_cmt_13,post_22_cmt_14,post_22_cmt_15,post_22_cmt_16,post_22_cmt_17,post_22_cmt_18,post_22_cmt_19,post_22_cmt_20,post_22_cmt_21,post_22_cmt_22,post_22_cmt_23,post_22_cmt_24,post_22_cmt_25,post_22_cmt_26,post_22_cmt_27,post_22_cmt_28,post_22_cmt_29,post_22_cmt_30,post_22_cmt_31,post_22_cmt_32,post_22_cmt_33,post_22_cmt_34,post_22_cmt_35,post_22_cmt_36,post_22_cmt_37,post_22_cmt_38,post_22_cmt_39,post_22_cmt_40,post_22_cmt_41,post_22_cmt_42,post_22_cmt_43,post_22_cmt_44,post_22_cmt_45,post_22_cmt_46,post_22_cmt_47,post_22_cmt_48,post_22_cmt_49,post_22_cmt_50",Tin tức xã hội
23,Thảm họa thật sự rồi,"post_23_cmt_1,post_23_cmt_2,post_23_cmt_3,post_23_cmt_4,post_23_cmt_5,post_23_cmt_6,post_23_cmt_7,post_23_cmt_8,post_23_cmt_9,post_23_cmt_10,post_23_cmt_11,post_23_cmt_12,post_23_cmt_13,post_23_cmt_14,post_23_cmt_15,post_23_cmt_16,post_23_cmt_17,post_23_cmt_18,post_23_cmt_19,post_23_cmt_20,post_23_cmt_21,post_23_cmt_22,post_23_cmt_23,post_23_cmt_24,post_23_cmt_25,post_23_cmt_26,post_23_cmt_27,post_23_cmt_28,post_23_cmt_29,post_23_cmt_30,post_23_cmt_31,post_23_cmt_32,post_23_cmt_33,post_23_cmt_34,post_23_cmt_35,post_23_cmt_36,post_23_cmt_37,post_23_cmt_38,post_23_cmt_39,post_23_cmt_40,post_23_cmt_41,post_23_cmt_42,post_23_cmt_43,post_23_cmt_44,post_23_cmt_45,post_23_cmt_46,post_23_cmt_48,post_23_cmt_49,post_23_cmt_50",Tin tức xã hội
24,HT: Malaysia 0-0 Việt Nam  Sức mạnh của nhập tịch là không thể xem thường. Malaysia thật sự hóa hổ ở lần này!,"post_24_cmt_1,post_24_cmt_2,post_24_cmt_3,post_24_cmt_4,post_24_cmt_5,post_24_cmt_6",Tin tức xã hội
25,Filip cần được mát xa vai và lưng trong giờ nghỉ,"post_25_cmt_1,post_25_cmt_2",Tin tức xã hội
26,Filip cứu thua hơn cả một bàn thắng,"post_26_cmt_1,post_26_cmt_2,post_26_cmt_3,post_26_cmt_4",Tin tức xã hội
27,Ê các bạn Malay ơi !!!,"post_27_cmt_1,post_27_cmt_2,post_27_cmt_3,post_27_cmt_4,post_27_cmt_5,post_27_cmt_6,post_27_cmt_7,post_27_cmt_8,post_27_cmt_9,post_27_cmt_10,post_27_cmt_11,post_27_cmt_12",Social Slang
28,Quang Vinh đây rồi!!!!,"post_28_cmt_1,post_28_cmt_2,post_28_cmt_3,post_28_cmt_4,post_28_cmt_5,post_28_cmt_6,post_28_cmt_7,post_28_cmt_8,post_28_cmt_9,post_28_cmt_10,post_28_cmt_11,post_28_cmt_12",Âm nhạc
29,Uncensored luôn mà 🐧,"post_29_cmt_1,post_29_cmt_2,post_29_cmt_4,post_29_cmt_5,post_29_cmt_6,post_29_cmt_7,post_29_cmt_8,post_29_cmt_9,post_29_cmt_10,post_29_cmt_11,post_29_cmt_12,post_29_cmt_13,post_29_cmt_14",Social Slang
30,"CHÍNH THỨC: CAO PENDANT QUANG VINH RA MẮT ĐTQG VIỆT NAM! 🇻🇳  Thầy Sik định cook cái gì với Văn Vĩ, Ngọc Quang đây? 🔥🔥🔥","post_30_cmt_1,post_30_cmt_2,post_30_cmt_3,post_30_cmt_4,post_30_cmt_5,post_30_cmt_6,post_30_cmt_7,post_30_cmt_8,post_30_cmt_9,post_30_cmt_10,post_30_cmt_11,post_30_cmt_12,post_30_cmt_13,post_30_cmt_14,post_30_cmt_15,post_30_cmt_16,post_30_cmt_17,post_30_cmt_18,post_30_cmt_19,post_30_cmt_20,post_30_cmt_21,post_30_cmt_22,post_30_cmt_23,post_30_cmt_24,post_30_cmt_25,post_30_cmt_26,post_30_cmt_27,post_30_cmt_28,post_30_cmt_29,post_30_cmt_30,post_30_cmt_31,post_30_cmt_32,post_30_cmt_33,post_30_cmt_34,post_30_cmt_35,post_30_cmt_36,post_30_cmt_37,post_30_cmt_38,post_30_cmt_39,post_30_cmt_40,post_30_cmt_41,post_30_cmt_42,post_30_cmt_43,post_30_cmt_44,post_30_cmt_45,post_30_cmt_46,post_30_cmt_47,post_30_cmt_48,post_30_cmt_49,post_30_cmt_50",Thể thao
31,Hà Lan B vẫn là quá ít để chịu được Nhật B 🙈,"post_31_cmt_1,post_31_cmt_2,post_31_cmt_3,post_31_cmt_4,post_31_cmt_5,post_31_cmt_6,post_31_cmt_8,post_31_cmt_9,post_31_cmt_10,post_31_cmt_11,post_31_cmt_12,post_31_cmt_13,post_31_cmt_14,post_31_cmt_15,post_31_cmt_16,post_31_cmt_17,post_31_cmt_18,post_31_cmt_19,post_31_cmt_20,post_31_cmt_21,post_31_cmt_22,post_31_cmt_23,post_31_cmt_24,post_31_cmt_25,post_31_cmt_26,post_31_cmt_27,post_31_cmt_28,post_31_cmt_29,post_31_cmt_30,post_31_cmt_31,post_31_cmt_32,post_31_cmt_33,post_31_cmt_34,post_31_cmt_35,post_31_cmt_36,post_31_cmt_37,post_31_cmt_38,post_31_cmt_39,post_31_cmt_40,post_31_cmt_41,post_31_cmt_42,post_31_cmt_43,post_31_cmt_44,post_31_cmt_45,post_31_cmt_46,post_31_cmt_47,post_31_cmt_48,post_31_cmt_49,post_31_cmt_50",Thể thao
32,2 chày,"post_32_cmt_1,post_32_cmt_2,post_32_cmt_3,post_32_cmt_4,post_32_cmt_5,post_32_cmt_6,post_32_cmt_7,post_32_cmt_8,post_32_cmt_9",
33,Bàn danh dự sớm cho Nhật trước Hà Lan B 🐧,"post_33_cmt_1,post_33_cmt_2,post_33_cmt_3,post_33_cmt_4,post_33_cmt_5,post_33_cmt_6,post_33_cmt_7,post_33_cmt_8,post_33_cmt_9,post_33_cmt_10,post_33_cmt_11,post_33_cmt_12,post_33_cmt_13,post_33_cmt_14,post_33_cmt_15,post_33_cmt_16,post_33_cmt_17",Thể thao
34,Một khi đã là đam mê 😂,"post_34_cmt_1,post_34_cmt_2,post_34_cmt_3,post_34_cmt_4,post_34_cmt_5,post_34_cmt_6,post_34_cmt_7,post_34_cmt_8,post_34_cmt_9,post_34_cmt_10,post_34_cmt_11,post_34_cmt_12,post_34_cmt_13,post_34_cmt_14,post_34_cmt_15,post_34_cmt_16,post_34_cmt_17,post_34_cmt_18,post_34_cmt_19,post_34_cmt_20,post_34_cmt_21,post_34_cmt_22,post_34_cmt_23,post_34_cmt_24,post_34_cmt_25,post_34_cmt_26,post_34_cmt_27,post_34_cmt_28,post_34_cmt_29,post_34_cmt_30,post_34_cmt_31,post_34_cmt_32,post_34_cmt_33,post_34_cmt_34,post_34_cmt_35,post_34_cmt_36,post_34_cmt_37,post_34_cmt_38,post_34_cmt_39,post_34_cmt_40,post_34_cmt_41,post_34_cmt_42,post_34_cmt_43,post_34_cmt_44,post_34_cmt_45,post_34_cmt_46,post_34_cmt_47,post_34_cmt_48,post_34_cmt_49,post_34_cmt_50",Social Slang
