post_id,cmt_id,comment
2,post_2_cmt_1,"MB đang có chương trình tặng 300K cho chủ thẻ mới, kích hoạt ngay các bác ơi:
https://www.mbbank.com.vn/26/213/2475/Chi-tiet/the-tin-dung-quoc-te-mb-mastercard-platinum-2025-4-23-14-15-19"
2,post_2_cmt_2,"Thẻ không drama, không bất ngờ, dùng ổn"
2,post_2_cmt_3,Mỗi tháng chọn đúng danh mục là ngon lành
2,post_2_cmt_4,MB Mastercard Platinum nhìn ngoài đẹp hơn trong ảnh
2,post_2_cmt_5,"Tính năng không quá phức tạp, dễ dùng, không làm khó người bận rộn"
2,post_2_cmt_6,"Cảm giác nhận hoàn tiền về không lớn, nhưng đủ để mỗi lần cà thẻ thấy vui"
2,post_2_cmt_7,"MB Mastercard Platinum nhìn sang xịn mịn thật sự, quẹt cái thấy bản thân trưởng thành hơn"
2,post_2_cmt_8,"Ủa alo, mấy cái phí kiểu phát hành – thường niên không có luôn là mừng hú vía rồi"
2,post_2_cmt_9,Tiêu là cashback – simple & effective
2,post_2_cmt_10,"Cashback không phải là thứ lớn lao, nhưng khi có thì thấy mình tiêu tiền không phí 😌"
2,post_2_cmt_11,"Tối giản thẻ, tối ưu ví, cảm giác kiểm soát được"
2,post_2_cmt_12,"Thẻ MB Mastercard Platinum không màu mè, mà hiệu quả"
2,post_2_cmt_13,MB Mastercard Platinum giúp tiết kiệm không bị gò bó
2,post_2_cmt_14,Không cần combo phức tạp vẫn có ưu đãi
2,post_2_cmt_15,Thẻ MB Mastercard Platinum đúng style “tinh gọn”
2,post_2_cmt_16,Đi cafe xài thẻ này thấy tiện
2,post_2_cmt_17,Không cần đợi tin nhắn báo lỗi – cà cái là xong
2,post_2_cmt_18,"Không áp lực chi tiêu, cứ xài là có cashback"
2,post_2_cmt_19,Quẹt nhiều chỗ mà cashback vẫn đều
2,post_2_cmt_20,"Đi nước ngoài quẹt cũng ổn áp, cashback vẫn nhận bình thường, không bị chặt chém nha"
2,post_2_cmt_21,Tui không giỏi tài chính mà vẫn dùng được
2,post_2_cmt_22,Xài rồi mới hiểu vì sao nhiều người khen
2,post_2_cmt_23,Chỉ cần một cái là đủ xài cho cả tháng
2,post_2_cmt_24,Không cần mở ví ra tìm đúng thẻ từng ưu đãi
2,post_2_cmt_25,"Thẻ làm gọn, app làm gọn, dùng cũng gọn"
2,post_2_cmt_26,"Cashback hợp lý, không bị lắt léo"
2,post_2_cmt_27,Dùng quen là không muốn đổi nữa
2,post_2_cmt_28,Có lúc định bỏ mà nhìn cashback lại thôi
2,post_2_cmt_29,App cập nhật cashback rõ ràng
2,post_2_cmt_30,"Quẹt nhanh, không lag máy"
2,post_2_cmt_31,Bạn nam nào muốn tiêu tiền “trong kỷ luật” mà vẫn vui vẻ thì nên thử
2,post_2_cmt_32,"Mình từng thử MB Mastercard Platinum 3 tháng, cashback về đều đặn, đủ tiền ăn uống của con mỗi tháng."
2,post_2_cmt_33,"Thẻ đẹp, nhìn nam tính"
2,post_2_cmt_34,Chọn MB Mastercard Platinum rồi tự hỏi: Sao mình không làm điều này sớm hơn ta
2,post_2_cmt_35,"Cái gì chứ thẻ này mà cho dân 25-35 tuổi thì đúng gu, xài hoài không chán"
2,post_2_cmt_36,Không cần quá giàu mới xài được
2,post_2_cmt_37,"Bạn bè cùng lứa tuổi nên thử MB Platinum, tháng nào cũng có 230-380k hoàn về, tháng cao nhất 520k khi mua sắm tết."
2,post_2_cmt_38,Không phải lo lắng vì nhiều thẻ bị trùng công dụng
2,post_2_cmt_39,"Thẻ đẹp, không bóng bẩy quá nhưng sang"
2,post_2_cmt_40,"Không sợ quên thẻ nào, vì có mỗi MB là trung thành"
2,post_2_cmt_41,Xài thẻ này mỗi lần mua sắm xong không còn cảm giác “tội lỗi” nữa
2,post_2_cmt_42,"Thẻ MB Mastercard Platinum ngoài chuyện hoàn tiền còn được ưu đãi bảo hiểm du lịch, quá hợp cho người hay đi công tác như mình."
2,post_2_cmt_43,Chọn đúng danh mục một cái là thấy khác liền
2,post_2_cmt_44,Không bị “ép” tiêu đúng danh mục như mấy thẻ combo
2,post_2_cmt_45,MB chăm làm sản phẩm hợp nhu cầu người dùng
2,post_2_cmt_46,Thẻ làm cho người trưởng thành thiệt
2,post_2_cmt_47,"Đổi danh mục cashback linh hoạt, không bị bó buộc"
2,post_2_cmt_48,Có cashback là tự dưng tiêu không áy náy
2,post_2_cmt_49,"Cashback về thẳng, không cần đổi điểm"
2,post_2_cmt_50,"Chưa thấy lỗi gì khi cà, mượt ghê"
3,post_3_cmt_1,"Bọn trẻ bây giờ rất nhiều đứa phủ nhận quyền làm cha, làm mẹ mà. Chúng nó cũng được trưởng thành từ công ơn dưỡng dục của cha mẹ nhưng chúng nó ""thế hệ gen-z, x"" bây giờ chúng nó ngày một đòi hỏi nhiều hơn, đòi cha mẹ chúng nó phải thế nọ thế kia cho chúng nó. Chúng nó phủ nhận cả cái thiên chức làm cha, làm mẹ của ""loài người"". Chỉ đến lúc nào ở cái ngưỡng tuổi ""trưởng thành"" thì chúng nó mới hiểu được. Bay nhảy, buông thả mãi được đâu. Chính ""tao"" có khi còn bay nhảy, buông thả hơn chúng mày nhiều, chúng m k đủ tuổi so với ""tao"" nhưng riêng cái vấn đề này thì chúng m không thể bằng được."
3,post_3_cmt_2,"Còn niềm tin, còn ng đồng hành nhưng ko còn tiền thì cũng chịu. Ivf hơn cả đánh bạc nữa, bao nhiêu cũng là ko đủ."
3,post_3_cmt_3,TTHTSS bv Đa khoa Tâm Anh cũng là nơi e đón được e bé của m. Cảm ơn PGS TS Lê Hoàng ng thầy y tài giỏi và bệnh viện TA đã chăm sóc thai kì cho mẹ con e ❤️
3,post_3_cmt_4,Dnay nhiều bài seeding Tâm Anh thía
3,post_3_cmt_5,Tôi cũng chơi thân với 1 gia đình anh chị . anh chị ấy cũng mong ngóng từng giờ để có con.hi vọng ông trời thương anh chị ấy sống tử tế hiền lành mà ban cho anh chị ấy 1 đứa con .
3,post_3_cmt_7,"Chúc mừng gia đình anh chị ạ
Chúc em bé khoẻ mạnh hạnh phúc"
3,post_3_cmt_8,Xin chúc mừng gia đình Trang Lĩnh
3,post_3_cmt_9,quan trọng hơn nữa là người đồng hành cùng chị tuyệt vời...chúc mừng gia đình
3,post_3_cmt_10,2019 đậu thai mãi tận 2023 mới sinh ạ?
3,post_3_cmt_11,Một người mẹ đầy nghị lực.
3,post_3_cmt_12,Chúc mừng a chị
3,post_3_cmt_13,"có con là 1 món quà ông trời ban, tiếc là nhiều người lại từ chối nó 
Thắng Bimmer"
3,post_3_cmt_14,Hy vọng cháu lớn lên nhận đủ sự nghiêm khắc của cha mẹ
3,post_3_cmt_15,<3
3,post_3_cmt_16,Mới gặp a /c này ở TA
3,post_3_cmt_17,Trừ đắt tiền ra thì tâm anh rất sịn nhé
3,post_3_cmt_18,"Giật tút căng, vldmcc"
3,post_3_cmt_19,Năm 2019 đậu thai sao đến tận tháng 8.5 2023 mới sing vậy
3,post_3_cmt_20,Ủa 2019 đậu thai mà 2023 mới sinh. Có sai ko adm
3,post_3_cmt_21,❤️
3,post_3_cmt_22,"Sống cho mình đi, mệt mỏi đi tìm con làm chi? Làm như mắc nợ ko bằng"
3,post_3_cmt_23,😊
3,post_3_cmt_24,Chúc mừng gia đình anh chị nhé! Chúc em bé khỏe mạnh một đời bình an nhé!
4,post_4_cmt_1,"Lúc bỏ chạy Trường còn bị ngã xe 🥲

https://thanhnien.vn/nghi-pham-cuop-tiem-vang-bi-bat-khi-ve-nha-an-com-185250613164518984.htm"
4,post_4_cmt_2,"Bữa cơm gia đình quan trọng lắm
Có thế nào cũng đừng bỏ cơm nhà"
4,post_4_cmt_3,Đây chỉ là giấc mơ thôi. Nhắm mắt lại 1 tí đến sáng vợ gọi dậy là xong. Là xongggg
4,post_4_cmt_4,Bằng chứng của việc cuộc sống quá khó khăn
4,post_4_cmt_5,"Chán cơm nhà , thích cơm tù là có thật"
4,post_4_cmt_6,"""Trời sinh Chu sao còn sinh Lượng """
4,post_4_cmt_7,Nhiều tiền thế mà vẫn ăn cơm ?
4,post_4_cmt_8,"Thế là trời đánh vẫn tránh miếng ăn, ăn hết bát cơm :))"
4,post_4_cmt_9,Nhắm mắt lại đưa đôi bàn tay...
4,post_4_cmt_10,"Ráng ăn bát cơm nhà cuối cùng
Rồi hành trang cbi ăn cơm tòo"
4,post_4_cmt_11,Giờ Trường có thêm Trại ! Trường Trại là y bài rồi nhé
4,post_4_cmt_12,"Trời đánh tránh miếng ăn, t.ử tòo còn có bữa ăn cuối cùng cơ mà. 🤣"
4,post_4_cmt_13,Trời đánh tránh miếng ăn mà sao ko cứ ngồi ăn đi tự dung lo ngang chi zậy
4,post_4_cmt_14,chán Trường quá 🫤
4,post_4_cmt_15,Rồi đây được en cơm miễn phí dài hạn luôn
4,post_4_cmt_16,Câu chuyện cho thấy tầm quan trọng của việc ăn uống đúng giờ rất quan trọng 🤭
4,post_4_cmt_17,"mang vàng về cho mẹ, hẹ hẹ hẹ"
4,post_4_cmt_18,"Ta về ta tắm ao ta, dù trong dù đục ao nhà vẫn hơn =)))"
4,post_4_cmt_19,ăn bát cơm cũng không xong
4,post_4_cmt_20,Làm vương làm tướng gì cũng được. Nhưng đến giờ ăn cơm vợ gọi là phải về
4,post_4_cmt_21,Thương Trường 😞
4,post_4_cmt_22,Lại thêm đối tượng không chịu đọc báo
4,post_4_cmt_23,Camera ca thật xét nét
4,post_4_cmt_24,Đi cướp ở Vn chỉ có đường thẳng vô tù thôi em 🤣
4,post_4_cmt_25,"a này kiểu như đường cùng rồi. nhắm mắt thở dài 1 hơi, ..."
4,post_4_cmt_26,Trời đánh tránh miếng ăn °°
4,post_4_cmt_27,Và cố nốt bát xong vào tò yên tâm 🤣
4,post_4_cmt_28,Đâu..e có cướp đâu 🥲
4,post_4_cmt_29,Nhìn đẹp trai khôi ngô tuần tú thế mà đi làm nghề ăn cướp
4,post_4_cmt_30,Có tí râu nữa là na ná m10
4,post_4_cmt_31,Nhà là nơi để về 🤣
4,post_4_cmt_32,Phải làm bát cơm cho chắc dạ 😆
4,post_4_cmt_33,Khi cướp rồi chạy có nhắm mắt ri không hầy🤣🤣
4,post_4_cmt_34,Bản lĩnh thì có mà đói ko chịu được 😅
4,post_4_cmt_35,Trường cơm nhà 😄
4,post_4_cmt_36,Định nhắm mắt bỏ qua à 😂
4,post_4_cmt_37,"Nhìn mặt thoả mãn ntn chắc cũng đc 2, 3 bi vào người rồi"
4,post_4_cmt_38,Bản lĩnh thì có đấy nhưng đói thì không chịu được 😂😂
4,post_4_cmt_39,"Thành công đi về nhà, thất bại đi về nhà ) đen vâu)"
4,post_4_cmt_40,Cướp tiệm vàng thì dễ lắm nhưng để thoát đc thì phải gọi là khó hơn ăn cứt
4,post_4_cmt_41,mâm cơm nhỏ hp to đây r
4,post_4_cmt_42,Thanh niên cẩn thận thế nhờ
4,post_4_cmt_43,T vẫn chưa biết vụ cướp diễn ra khi nào đã thấy bị bắt r
4,post_4_cmt_44,Ko ăn thì lên chỉ có bánh mì với nước lọc cố ăn thêm được gì thì ăn
4,post_4_cmt_45,Nhắm mặt lại. Biến. Sao ko biến nhỉ
4,post_4_cmt_46,Nhắm mắt lại hôn vào tai :)
4,post_4_cmt_47,Chắc a nghĩ “nhà là nơi yên bình nhất” hoặc là “trời đánh tránh miếng ăn”
4,post_4_cmt_48,Minh Khiêm bạn ơi sao dại thế
4,post_4_cmt_49,đói là không chịu được
4,post_4_cmt_50,"""Bạn hãy so sánh cơm nhà và cơm tù"""
5,post_5_cmt_1,https://www.tiktok.com/@clearvietnam/video/7514211182765477138
5,post_5_cmt_2,Job này chắc 50k nên hơi nhạt 😶😶😶
5,post_5_cmt_3,Clear giờ phải thuê báo lá ngón làm content thì hỏng dzồy
5,post_5_cmt_4,Tôi coi 3 lần vẫn thấy vui như lần đầu
5,post_5_cmt_5,Job này đc bao tiền ad content chán thế :))
5,post_5_cmt_6,Like an ủi 😏
5,post_5_cmt_7,20 năm trung thành với clear ! Ưng cái mùi nó thơm nhẹ ! Và ko bị ngứa đầu
5,post_5_cmt_8,Là sao. Hổng hiểu 🤪🤪🤪
5,post_5_cmt_9,Cớ đó luôn bây ơi kk
5,post_5_cmt_10,Nội dung kiểu này thì CLEAR giữ top brand quốc dân Gen Z là đúng rồi
5,post_5_cmt_11,Mặn như nước biển Thái Lan mà vẫn sạch như CLEAR
5,post_5_cmt_12,"Thề luôn, team content CLEAR chắc toàn dân chơi hệ 7749 plot twist"
5,post_5_cmt_13,"Ủa alo, làm thêm phần 2 được hông vậy, chưa đã"
5,post_5_cmt_14,Mỗi lần xem là một lần mê
5,post_5_cmt_15,Định lướt qua mà bị cuốn quá trời cuốn
5,post_5_cmt_16,Làm content kiểu này mới là đỉnh cao
5,post_5_cmt_17,Cái đoạn cuối đúng kiểu “dứt điểm nhẹ nhàng mà đau tận não” =))
6,post_6_cmt_1,Tới lúc về book xanh mới đón tận nới nha và giá lúc về lên 30-40% 🤣 mình bị đợt đi concert ở vinpark. Còn book mấy app khác là xe k dô dc. Phải đi bộ ra mấy km.
6,post_6_cmt_2,Các bác ở đấy cho e hỏi wifi 4g ổn ko
6,post_6_cmt_3,"🔥🔥🔥 QUỸ PHÒNG CONCERT 🔥🔥🔥
🎯 Em sẵn căn stu, 1PN, 2PN, 3PN Vin1

🎯 Em sẵn phòng SÁT CONCERT VÀ CÁCH CONCERT 100m-900m

🎯 Phục vụ các ĐỒNG GAI từ 1,2 người đến 50 người 

🍀 Đặc biệt homestay có chỗ để xe an toàn để các khách iu yên tâm đi đu idol 
🍀 Em vẫn để dành rất nhiều quỹ phòng ngonnn phục vụ khách yêu, giá siêu mềm cho các GAI đu Idol nha
🍀 Vị trí trung tâm Concert, vũ trụ vui chơi giải trí, chỉ cách concert vài bước chân – đi bộ chill chill là tới!

☎️ 0987258456 

Alo/ib em  nha, em giữ phòng và hỗ trợ nhiệt tình cho các GAI iuuu yên tâm đu idol 🥰
Đ/c: Vinhomes Ocean Park 1,2,3

#AnhTraiVuotNganChongGai #OceanCity #VinhomesOceanPark 
#ConcertThang6
#AnhTrai
#30thang4 #1thang5 #giaiphongmiennam #vietnam #toquocvietnam #Oceanpark1
#OceanPark3 #OceanPark2 #VinhomesHungYen #Hungyen #nghile #atvncg #anhtai #dulich #nghiduong #cuoituan #picnic #idol #Concert #RangNgoiVietNam"
6,post_6_cmt_4,Đông vui từ chiều nay luôn rồi các gai con
6,post_6_cmt_5,"Có thấy đặc quyền gì đâu, ở đâu chả đc 🙄"
6,post_6_cmt_6,Giảm vé xe như nào v ạ🥲
6,post_6_cmt_7,Em tới đâyyyyy
6,post_6_cmt_8,Thoát hàng ☺️☺️
6,post_6_cmt_9,Ngóng quá huhuuu
6,post_6_cmt_10,Hóng đến mai quá chừngggg
6,post_6_cmt_11,Nghe nói khó gọi xe lắm
6,post_6_cmt_12,Gai con là cái đb gì thế?
6,post_6_cmt_13,Mình chính chủ homestay ạ .
6,post_6_cmt_14,Pass 1 vé DCHL2 day 6 giao dịch trực tiếp hay như nào cũng được ạ
6,post_6_cmt_15,Tui đi làm mà tâm hồn ở OCP3
6,post_6_cmt_16,con yêu mẹ Gai
6,post_6_cmt_17,Gai con là cái gì thế ae?
6,post_6_cmt_18,"bên em chuyên vận chuyển chính ngạch, xuất hoá đơn giấy tờ đầy đủ, 4 kho bên Trung: Chiết Giang, Bằng Tường, Quảng Châu, Nam Ninh giúp tối ưu chi phí, cước từ 3k/kg, 500k/m3, nhắn em hỗ trợ 0827095054"
6,post_6_cmt_19,"Katinat có 8k, gà Popeyes có 17k ship tận sân thì vua chúa chỉ đến thế thôi"
6,post_6_cmt_20,Đi thôi
6,post_6_cmt_21,Chuẩn bị lên đường
6,post_6_cmt_22,Trương Kim Ngân Khánh Huyền - Chuyên nhận order và vận chuyển hàng hóa Việt <-> Trung.
6,post_6_cmt_24,"xe bus miễn phí chạy tới 3h nha. các bác đi concert cần phòng thì ới em nhé, em còn căn đẹp ạ"
6,post_6_cmt_25,"Sẵn tiện thì mua căn Studio Lumiere SpringBay ở bên cạnh gần Concert mình cũng có nhìu ưu đãi nha chỉ 2,2 tỏi không lo phải tìm homestay sau này 🤩"
6,post_6_cmt_26,"bên em chuyên vận chuyển chính ngạch, xuất hoá đơn giấy tờ đầy đủ, 4 kho bên Trung: Chiết Giang, Bằng Tường, Quảng Châu, Nam Ninh giúp tối ưu chi phí, cước từ 3k/kg, 500k/m3, nhắn em hỗ trợ 0827095054 Đường lên Đỉnh - Bạn liệu đã am hiểu Segg, đọc thử xem."
7,post_7_cmt_1,"Mới 19 tuổi đấy 😠
https://thanhnien.vn/lay-loi-khai-thanh-nien-dap-nga-xe-nguoi-di-duong-o-tpthu-duc-185250613121829704.htm"
7,post_7_cmt_2,19 tuổi =]] Chắc trước đó cũng dạng du thủ du thực du côn nhỉ
7,post_7_cmt_3,"Lần 1 - Đạp sẩy.Lần 2-Đạp trúng
,gây tai nạn,người bị đạp bị thương,..Cố ý gây thương tích rồi."
7,post_7_cmt_4,"Lúc đạp thì hùng hổ lắm, lên uống nước chè thì co giúm lại"
7,post_7_cmt_5,Đối tượng gây nguy hiểm cho xã hội đây này chứ ko phải con bé đã mất trong vụ tai nạn nào đó
7,post_7_cmt_6,Hành vi giết người ! Vote cho nó 1 vé 5 năm bóc lịch
7,post_7_cmt_7,Còn nhỏ mà tâm địa độc ác vậy rồi
7,post_7_cmt_8,"19 tuổi, loại vô giáo dục, hành động theo bản năng của kẻ vô pháp vô cương. Cần xử nghiêm để làm gương cho giới trẻ."
7,post_7_cmt_9,Đủ tuổi đi tù rồi. Chiển luôn thôi cán bộ.
7,post_7_cmt_10,Cho vào uống nc chè dài hạn
7,post_7_cmt_11,"Mấy th du côn nó lươn lẹo lắm lý do, đến lúc hết lý do thì nó bảo nó ngứa mắt."
7,post_7_cmt_12,"Khởi tố thôi, bằng chứng quá rõ rồi, 19t mà mất dậy thế thì nên vào tò cho trưởng thành lên."
7,post_7_cmt_13,Mới nứt mắt mà đã thế. Cần nằm trong sự quản lý của phường và theo dõi
7,post_7_cmt_14,"May mà k bị thương , nhưng k may ng ta ngã ra xong lúc đấy có oto thì sao , nói chung kể cả là ra đầu thú cũng phải phạt thật nặng chứ thả ra xh nó giết ng lúc nào k hay"
7,post_7_cmt_15,Tù thôi? Nhiệm vụ bất khả thi có bao giờ bắt được đâu.....
7,post_7_cmt_16,"Không thể tha thứ dù tự trình diện.Nạn nhân không chít,hay bị thương nặng chỉ là may mắn .Cần xử để răn đe những hành vi như vậy."
7,post_7_cmt_17,"Hung hăng, côn đồ quá! 
Cố ý gây nguy hiểm đến tính mạng người khác."
7,post_7_cmt_18,"Này cố ý gây thương tích cũng có thể cố ý giết người,cái này nặng ak nha"
7,post_7_cmt_19,Có thể quy vô tội cố tình giết người luôn á @@ dại thế ko biết
7,post_7_cmt_20,Ra trình diện là cũng biết sợ r :)) còn cứu đc 🤣
7,post_7_cmt_21,Đủ tuổi chịu trách nhiệm hình sự rồi…. Cho ký hợp đồng với Juventus là ok
7,post_7_cmt_22,Tự đạp mình vào cmn tù 👍👍
7,post_7_cmt_23,19 tuổi ah. Đủ nhận thức và chịu trách nhiệm về hành vi của mih rồi
7,post_7_cmt_24,nó thấy CA điều tra mới ra trình diện
7,post_7_cmt_25,cho nó đi too đi là vừa
7,post_7_cmt_26,làm cái cố ý gtt
7,post_7_cmt_27,Sự nuông chiều tạo ra kẻ coi thường tính mạng người khác.
7,post_7_cmt_28,"May là có camera của ô tô đi sau chứ mà khúc đó xui rủi có mỗi xe máy k thì làm gì có chuyện cái thằng nhỏ này lên trình diện. Thôi hổ báo trường mẫu giáo thì cũng 19t đầu rồi, chịu trách nhiệm với hành động của mình đi là vừa!"
7,post_7_cmt_29,Đây mới đúng là thành phần gây nguy hiểm cho xã hội nè. Cmn
7,post_7_cmt_30,"Cố tình giết ng r. Thực hiện hành vi cố tình, gây nguy hiểm đến sức khoẻ và tính mạng ng khác. 19t cũng vừa đẹp để lĩnh án."
7,post_7_cmt_31,"Cố ý phạm tội, có sự cố gắng đạt được hành vi ^^, cho kí hợp đồng dài hạn đi ^^"
7,post_7_cmt_32,"tốt nhất cho nó ko được tham gia giao thông nữa, cho đi xe buýt :))"
7,post_7_cmt_33,Khởi tố tội cố ý giết người được rồi
7,post_7_cmt_34,19 tuổi đủ tuổi đi rồi
7,post_7_cmt_35,3 quyển cho chừa
7,post_7_cmt_36,cố ý gây thương tích- hành vi nguy hiểm cần nghiêm trị
7,post_7_cmt_37,Tự giác thành thật tự thú thì còn được xem xét giảm nhẹ :))) May mà nạn nhân chưa bị xe sau  nó chèn lên đấy
7,post_7_cmt_38,19 tuổi mới lớn mà đã muốn làm bố thiên hạ rồi hả.
7,post_7_cmt_39,"Mang mấy thằng này đi test thuốc mới, thủ pháp phẫu thuật, vũ khí, vv

Đỡ phải chuột bạch gì cả. Phục vụ y tế, kĩ thuật quân sự

Nuôi để test thôi. Không đi thì nuôi test tiếp"
7,post_7_cmt_40,Lợi ích của internet phổ cập đến từng ngóc ngách. :))))
7,post_7_cmt_41,cho đi tù là mềm người ngay
7,post_7_cmt_42,"Ranh con , nhiều đứa ra đường nhưng chỉ mang theo sự bố đời hung hăng còn não để ở nhà cho đỡ khấu hao vật lý"
7,post_7_cmt_43,Tôi nghĩ lúc đá là ngầu
7,post_7_cmt_44,Hành vi cố ý giết người không thành
7,post_7_cmt_45,trường hợp này k cần nhận tiền cho vào tù ngồi tu dưỡng đạo đức mấy năm rồi về
7,post_7_cmt_46,"19 tuổi chắc còn đi học, nhưng mà vào nhà đá học làm người đã rồi khi nào ra thì hẵng vào trường tiếp tục rút hồ sơ học bạ"
7,post_7_cmt_47,Dí cho quả cố ý giết người thì lại ngon :)))
7,post_7_cmt_48,19 tuổi rồi tặng cho cháu nó 1 vé đi tù cho nó bớt ngông lại
7,post_7_cmt_49,Truy tố tội giết người thôi.
7,post_7_cmt_50,Vừa lòng tao lắm.
8,post_8_cmt_1,"Gà rán còn đang tặng miễn phí Quang Hải Prime nhân dịp sinh nhật 7 tuổi đấy, anh em vào múc lẹ: https://sinhnhat.fconline.garena.vn/"
8,post_8_cmt_2,Quang Hải chỉ số cao nhất game mới chịu :))
8,post_8_cmt_3,Hải chuyền anh hải ơi ..... hải .............Chịu ko hiểu tiếng Thông cảm !!!
8,post_8_cmt_4,Quang hải buff bẩn
8,post_8_cmt_5,huyền thoại của vn
8,post_8_cmt_6,1 cục cứt và 1 cục vàng cùng là số 1 nhưng đâu có so sánh được với nhau đâu ad
8,post_8_cmt_7,Có nằm mơ hải con cũng ko nghĩ là lại phải đá cùng cr7
